tech_id,name,category,block,summary,subtechnologies,related_cases,source_ids
tech-ai,Искусственный интеллект,Интеллект,ai-business,"Фундаментальная инфраструктурная технология XXI века: проникает во все секторы, забирает счёт и анализ, меняет источник генерации ценности. От генерации контента к действиям и агентам.",Большие языковые модели (LLM);Генеративный ИИ (GAI);Интерактивный ИИ (IAI);Большие модели действий (LAM);ИИ-агенты;Автоматизация действий и результатов (RARA/RPA),ca05;ca06,s-digital;s-trends-ingos;s-ingos-transform;s-frontier-21-01
tech-quantum,Квантовые технологии,Квантовые,landscape,"Ядро следующего уклада: аналоговые технологии на квантовых принципах. Основное прикладное направление — защита данных по законам физики (КРК). Теорема Моска задаёт срочность перехода.",Квантовые коммуникации (QKD/КРК);Квантовые вычисления;Квантовые сенсоры и метрология,ca01;ca02;ca04;ca09,s-quantum-infra;s-trends-ingos;s-digital;s-ingos-transform
tech-dlt,Распределённые реестры (блокчейн/DLT),Транзакции,landscape,"Основа конвергентных финансовых рынков: децентрализованные защищённые транзакционные инфраструктуры. Снижают стоимость и время транзакций, убирают посредников; стандартизация DLT в ITU.",Блокчейн;Смарт-контракты;Цифровые активы и токены (ЦФА);Приватные и публичные реестры;Стейблкоины (Stellar Lumens),ca03;ca07,s-trends-ingos;s-ingos-transform;s-digital
tech-nbic,Когнитивные и NBIC-технологии,Когнитивные,landscape,"Конвергенция нано-, био-, инфо- и когнитивных технологий: цифровой аналог человека, управление состояниями и коллективным сознанием. Барьер когни- и биосовместимости как маркер кризиса уклада.",Нейроинтерфейсы;Био- и нейротехнологии;Когнитивные карты;Цифровые социодвойники,ca10,s-trends-ingos;s-digital;s-value-06-26
tech-iot,Интернет вещей (IoT / IIoT / AIoT),Данные и устройства,ai-business,"Цифровизация физического мира: датчики, промышленный интернет вещей и его слияние с ИИ (AIoT). Барьеры — мультимодальность, ассоциирование данных с объектами, интероперабельность.",Промышленный интернет вещей (IIoT);ИИ вещей (AIoT);Датчики и телеметрия;Цифровые двойники,ca05,s-digital;s-trends-ingos;s-quantum-infra
tech-networks,Телеком-сети (5G / 6G),Связь,landscape,"Опорная инфраструктура передачи данных и транзакций; развитие сетей 5–6G как условие цифровизации корпораций, IoT и потоковых сервисов.",Сети 5G;Сети 6G;Магистральные и защищённые каналы;Спутниковый интернет,ca09,s-quantum-infra;s-digital;s-trends-ingos
tech-security,Информационная безопасность и Secure by Design,Безопасность,landscape,"Безопасность становится неотделимой от транзакции (secure by design), превращается в приватность. Постквантовая криптография как ответ на угрозу квантового взлома.",Постквантовая криптография;Secure by Design;Аппаратные модули безопасности (HSM);Квантовые SIM и УЦ,ca04;ca02,s-quantum-infra;s-trends-ingos
tech-compute,ИИ-чипы и вычислительная инфраструктура,Вычисления,landscape,"Удешевление инфраструктуры ИИ (стоимость подключения, скорость интеграции) и специализированное «железо». Платформенные модели: PaaS, AIaaS, Lowcode.",AI-чипы;PaaS / AIaaS платформы;Lowcode-сервисы;Облачные вычисления,ca05,s-digital;s-quantum-infra;s-trends-ingos
tech-immersive,Метавселенные и иммерсивные среды,Иммерсивные,landscape,"Взаимное проникновение технологий и цифровизация опыта: метавселенные, фиджитал-среды, цифровая одежда для аватаров, супер-иммерсивные форматы.",Метавселенные;Фиджитал-среды;XR / иммерсивные форматы;Цифровые аватары,ca10,s-digital;s-value-06-26
tech-data,Данные и цифровые двойники,Данные,landscape,"Новый класс сырья: данные о природе, цифровые двойники, токенизация физического мира; ИИ-модели на поведении и физических объектах. Российский рынок данных растёт кратно быстрее мирового.",Большие данные;Цифровые двойники;Токенизация физического мира;Мультимодальные данные,ca07,s-quantum-infra;s-digital;s-trends-ingos
