concept_id,title,type,block,summary,source_ids
c01,Воронка · Лейка · Хлопушка (Камертон),фреймворк,transition,"Три маркетинговые модели работы с рынком по укладам: переработка объёма (воронка) → выращивание аудитории (лейка) → импульс и осколки (хлопушка/камертон).",s-digital;s-value-06-26;s-frontier-emba
c02,Грибник · Садовник · Артиллерист,фреймворк,transition,"Метафоры действия по укладам: поиск в готовом (грибник) → выращивание (садовник) → подрыв структур (артиллерист/взрывник).",s-digital
c03,Три уклада (сводная таблица),фреймворк,transition,"Построчное сравнение индустриального / постиндустриального / постинформационного укладов по ~25 параметрам (капитал, каналы, метрики, продвижение, управление, защита активов и др.).",s-digital;s-value-06-26
c04,Онтология · Семантика · Прагматика,модель,transition,"Способ описания мира по укладам: онтология (картина мира) → семантика (образ будущего) → прагматика (суперпозиция реальностей, кайрос).",s-value-06-26;s-frontier-21-01;s-frontier-emba
c05,Прогресс · Тренды · Инверты,модель,transition,"Логика развития по укладам: прогресс/рост → тренды/развитие (голубые океаны) → инверты/мицелии (создание окружения, схлопывание).",s-value-06-26;s-frontier-21-01;s-frontier-emba
c06,Функция решений,модель,transition,"Три оси: эффективность (затраты) · инструменты (масштаб) · добавленная стоимость (риск). «Область быстрого исчерпания» — куда стягиваются вложения в эффективность.",s-value-06-26;s-ingos-transform
c07,Параметры моделей бизнеса,фреймворк,transition,"Четыре среза: производство/природа ценности · взаимодействие на рынке · управление · отношения с миром.",s-value-06-26
c08,Стек технологической инфраструктуры,фреймворк,landscape,"Слои создания рынка: Инфраструктура → Технологии → Стандарты → Решения/продукты → Бизнес-модели → Регулирование.",s-digital;s-trends-ingos;s-mgmt-26-03
c09,Рынки · Потоки · Игроки,фреймворк,landscape,"Базовая триада анализа нового рынка на новой инфраструктуре.",s-trends-ingos;s-mgmt-26-03;s-digital
c10,Tech push / Market pull,модель,landscape,"Западная модель инноваций: университеты/лаборатории/стартапы ↔ корпорации ↔ посредники (фонды, инкубаторы, брокеры) на масштабных рынках.",s-mgmt-26-03;s-digital;s-trends-ingos
c11,Модель ПАРУС,модель,landscape,"Связка технологии · инфраструктура · рынки · модели отношений через архитектуры, стандарты/институты и решения/бизнес-модели.",s-quantum-infra
c12,Уровни неопределённости,модель,landscape,"Сложившиеся рынки (оцениваем риски) → смена инфраструктур (моделируем цепочки) → смена социально-экономических моделей (риски и модель не оцениваются).",s-mgmt-26-03;s-digital;s-infra-base
c13,Теорема Моска,принцип,landscape,"Если x (срок секретности данных) + y (время миграции на квантово-стойкую защиту) > z (время до квантового компьютера), — пора беспокоиться. Обоснование срочности перехода.",s-quantum-infra
c14,Квантовое распределение ключа (КРК/QKD),схема,landscape,"Генерация и передача абсолютно стойких ключей на фотонах; невозможность «прослушать» по законам физики (Алиса ↔ Боб).",s-quantum-infra;s-digital;s-ingos-transform
c15,Стек квантовой инфраструктуры,схема,landscape,"Инфраструктура/сети → QKD/QHSM/QNRG → API/SDK → приложения и сервисы. Архитектура рынка по сегментам (оборудование → сети → операторские услуги → b2b → конечные сервисы).",s-quantum-infra
