question_id,block,topic_id,question,type,level
q01,transition,t01,"Назовите три уклада и объясните, чем «сборка» отличается от «анализа» и «счёта».",лекция,базовый
q02,transition,t02,"В чём разница между воронкой, лейкой и хлопушкой как моделями работы с рынком? Приведите пример каждой.",семинар,базовый
q03,transition,t03,Как меняется природа капитала при переходе между укладами? Что такое неотчуждаемый актив и гудвилл?,лекция,продвинутый
q04,transition,t04,Разложите выбранную отрасль по трём укладам и назовите следующий ход.,семинар,продвинутый
q05,transition,t05,Что такое «область быстрого исчерпания» и почему туда стягиваются вложения только в эффективность?,экзамен,продвинутый
q06,transition,t06,Назовите четыре среза модели бизнеса и разберите по ним знакомую компанию.,семинар,базовый
q07,landscape,t08,Перечислите слои стека технологической инфраструктуры — от инфраструктуры до регулирования.,лекция,базовый
q08,landscape,t09,Что анализирует триада «рынки · потоки · игроки»? Опишите модель Tech push / Market pull.,лекция,базовый
q09,landscape,t10,Назовите ядро фронтирных технологий и три технологических барьера текущего уклада.,экзамен,продвинутый
q10,landscape,t11,Как работает квантовое распределение ключа и почему его нельзя «прослушать»? Сформулируйте теорему Моска.,экзамен,продвинутый
q11,landscape,t12,Какие проблемы классической платёжной инфраструктуры решают распределённые реестры? Разберите кейс IBM Stellar.,семинар,продвинутый
q12,landscape,t14,"Что значит «продаётся включение в сеть и поток транзакций»? Опишите бизнес-модель оператора инфраструктуры.",семинар,продвинутый
q13,ai-business,t15,Почему ИИ называют инфраструктурной технологией? Что значит «OpenAI — архитектор рынков»?,лекция,базовый
q14,ai-business,t16,Чем цифровизация отличается от автоматизации и цифровой трансформации? Как ставить ROI цифровизации?,семинар,продвинутый
q15,ai-business,t17,"Назовите барьеры внедрения ИИ в промышленности и тренды-ответы (RPA/RAA, AIoT).",лекция,базовый
q16,ai-business,t18,Что такое IAI и агенты на уровне API↔API? В чём проблема ответственности при делегировании решений ИИ?,семинар,продвинутый
q17,ai-business,t19,Разберите кейс Red Bull (или Сбер) по трём укладам и сформулируйте ключевой переход.,семинар,базовый
q18,ai-business,t20,Сформулируйте правило трёх доменов и примените его к кейсу Сбер × Космос или Como 1907.,экзамен,продвинутый
q19,management,t21,В чём разрыв модели «менеджер · финансист · эксперт» и почему она не держит фронтирные задачи?,лекция,базовый
q20,management,t22,"Опишите модель «главного архитектора»: какие полномочия и какая ответственность.",лекция,базовый
q21,management,t25,Чем постинформационная суперзадача отличается от обычной задачи? Что делает штаб?,семинар,продвинутый
q22,management,t26,Как меняются навыки и капитализация специалиста по укладам (хард → софт → мета)?,экзамен,базовый
q23,management,t24,Назовите роли новой ролевой модели и валюты/ресурсы постинформационного уклада.,семинар,базовый
q24,management,t28,Что показывает powermap и почему «доверие и отношения важнее техники сделки»?,семинар,продвинутый
