case_id,title,domain,block,summary,key_metrics,related_concepts,source_ids
ca01,Формирование инфраструктуры квантовых коммуникаций,Квантовые коммуникации / связь,landscape,"Полный жизненный цикл нового рынка на примере проекта (СМАРТС КТК): форсайт → консорциум → один из первых МИП в стране → Сколково → полигоны НТИ → участие в ETSI/ISO/Росстандарт → инфраструктура и стандарт. Цикл проекта >10 лет.","показатели проекта: оборот ~1 млрд руб., 90+ сотрудников, 12 патентов; рынок: 7000 км квантовых сетей в РФ, >10 городов, РЖД как оператор (цифры со слайдов — проверить)",c14;c15;c16;c11,s-quantum-infra;s-digital;s-trends-ingos
ca02,Экономика квантового оператора (KaaS),Квантовые сервисы,landscape,"От инфраструктуры к приложениям: три уровня цены — собственная инфраструктура vs подписка на ключ vs конечный сервис. Иллюстрация модели «Ключ-как-сервис» и стека сервисов квантового оператора.","собственная инфраструктура ~350 млн руб./25 абонентов; KaaS ~30 000 руб./мес. за абонента; конечный сервис от ~1500 руб./мес. или от 500 тыс. руб./лицензия (цифры со слайдов — проверить)",c16;c15;c11,s-quantum-infra;s-trends-ingos;s-ingos-transform
ca03,DLT и трансграничные платежи,Финансовая инфраструктура,landscape,"Проблемы классической платёжной инфраструктуры (централизация SWIFT/VISA, до 8 дней, до 20% стоимости, 3–5 посредников) и что решают распределённые реестры (−60% стоимости, мгновенность, децентрализация). Кейс IBM на базе Stellar в конкуренции с Ripple.","объём межд. платежей ~100 трлн долл./год; план IBM 10–15%; стандартизация DLT в ITU (цифры со слайдов — проверить)",c08;c17;c09,s-trends-ingos;s-ingos-transform;s-digital
ca04,"Квантовая атака на AES (D-Wave, 2024)",Информационная безопасность,landscape,"Группа из Шанхайского университета заявила об использовании D-Wave Advantage для атаки на алгоритмы Present/Gift-64/Rectangle, критичные для AES (Chinese Journal of Computers, сентябрь 2024). Эмпирическое обоснование срочности перехода (теорема Моска).","угроза AES, используемого в госсекторе, военных и финансах (по заявлению авторов — проверить)",c13;c14,s-quantum-infra
ca05,ИИ в IIoT и цифровой промышленности,Промышленность / IoT,ai-business,"Барьеры внедрения ИИ (мультимодальность, конфликт языков/протоколов LLM, отсутствие универсальной среды управления, комплаенс) и тренды-ответы (RPA/RAA, AIoT, ИИ-ERP, plug&play интеграции устройств и систем).",,c20;c21,s-digital;s-trends-ingos;s-infra-30-10
ca06,Be More device,Потребительские устройства / ИИ,ai-business,"ИИ-посредник для рутинных задач (билеты, такси, заказ, подсказки), снижение времени в смартфоне, работа с контекстом; пользователь получает результат и эмоцию, а не процесс. Разбор недостатков новых ИИ-девайсов.",,c20;c19,s-digital;s-trends-ingos;s-ingos-transform
ca07,Сбер × Космос,Космос / финтех,ai-business,"Контентизация космоса и вход через комбинирование доменов: ЦФА на космические запуски (5200 руб. при успехе / 200 руб. при аварии), партнёрство с Геоскан (3D-модели Луны и Марса на кубсатах). Космос = инфраструктура + данные + контент.","ЦФА для квалифицированных инвесторов-юрлиц; Геоскан: съёмка Марса ~12 м/пикс, ~4 ТБ данных (по публикациям — проверить)",c22;c18;c24,s-ingos-transform;s-frontier-21-01
ca08,Red Bull Stratos,Спорт / медиа,ai-business,"«Хлопушка» в действии: рекорд высоты и скорости свободного падения, 5 лет подготовки, уникальные технологии; точечное событие с планетарным медийным охватом, поднявшее продажи бренда.","стоимость проекта ~50 млн долл.; продажи до ~6 млрд долл.; медийный охват ~1–5 млрд; ~7% рост компании (цифры со слайдов — проверить)",c01;c19;c23,s-ingos-transform;s-frontier-21-01
ca09,Магистральная квантовая сеть Москва–Петербург,Квантовые сети,landscape,"Инфраструктурный проект магистральной квантовой сети; РЖД как оператор. Иллюстрация перехода технологии в стандарт, оборудование и сервисы.",,c15;c11,s-quantum-infra;s-digital;s-mgmt-26-03
ca10,Цикл социализации и капитализация человека,Соц-тех / реабилитация,transition,"Отраслевая трансформация «реабилитация → адаптация → социализация → социальная динамика»: от ТСР и протезов к рынку героев/репутации, киберпротезам с обратной связью, фиджитал-играм и цифровым социодвойникам.",,c33;c31,s-digital;s-ingos-transform;s-value-06-26
