topic_id,block,title,summary,key_concepts,source_ids
t01,transition,Смена цивилизационных укладов,"Индустриальный → информационный (постиндустриальный) → постинформационный (пост-ИИ). Опора на Тоффлера («Третья волна»); каждая последующая стадия сжимается во времени. Экономика считает → анализирует → собирает.",три уклада;цивилизационные волны,s-value-06-26;s-digital;s-frontier-emba
t02,transition,Воронка · Лейка · Хлопушка,"Три маркетинговые модели работы с рынком по укладам: Воронка (переработать большой объём, транзакция «купи-уйди»), Лейка (выращивание аудитории, отношения), Хлопушка/Камертон (импульс и осколки, когерентность). Метафоры: грибник · садовник · артиллерист/взрывник.",воронка-лейка-хлопушка;грибник-садовник-артиллерист;когерентность,s-digital;s-value-06-26;s-frontier-emba
t03,transition,Сводная таблица параметров укладов,"Построчное сравнение укладов: что производится, капитал, каналы доставки, конструирование продукта, метрики, продвижение, взаимодействие с клиентом, управление, позиционирование, защита активов, способ описания (онтология/семантика/прагматика).",три уклада;онтология-семантика-прагматика,s-digital;s-value-06-26
t04,transition,Отраслевые проекции укладов,"Матрица «отрасль × уклад»: как индустриальный/постиндустриальный/пост-ИИ уровни выглядят в HR, здоровье, спорте, моде, еде, искусстве, космосе, образовании, консалтинге и др. Тренировка насмотренности и постановки хода.",три уклада;отраслевая матрица,s-digital;s-value-06-26
t05,transition,Функция решений и источники стоимости,"Эффективность (затраты) · инструменты (масштаб) · добавленная стоимость (риск). «Область быстрого исчерпания» — куда сходятся инвестиции в эффективность. ROI цифровизации: где на кривой доходы/расходы/инвестиции в ИИ.",функция решений;ROI цифровизации,s-value-06-26;s-ingos-transform
t06,transition,Параметры моделей бизнеса,"Четыре среза модели бизнеса: производство и природа ценности; взаимодействие на рынке; управление; отношения с миром (способ описания будущего). Рамка для разбора любой компании.",параметры моделей бизнеса,s-value-06-26
t07,landscape,Управление технологическим развитием,"Три рамки задачи: долгосрочно (10–25 лет), на новых рынках и инфраструктурах, на своём поле / по своим правилам. Сложившиеся рынки vs смена инфраструктур vs смена социально-экономических моделей — разная оцениваемость рисков.",глубокая инновация;уровни неопределённости,s-mgmt-26-03;s-digital;s-infra-base
t08,landscape,Стек технологической инфраструктуры,"Слои создания нового рынка: Инфраструктура → Технологии → Стандарты → Решения/продукты → Бизнес-модели → Регулирование. Архитектуры и принципы связывают заинтересованные группы, институты и решения.",стек инфраструктуры;архитектуры и стандарты,s-digital;s-trends-ingos;s-mgmt-26-03
t09,landscape,Рынки · Потоки · Игроки,"Базовая триада анализа: новые рынки на новых инфраструктурах, потоки (транзакции/данные/ценность) и игроки (университеты, корпорации, посредники). Модель инноваций Tech push / Market pull.",рынки-потоки-игроки;tech-push-market-pull,s-trends-ingos;s-mgmt-26-03;s-digital
t10,landscape,Ядро фронтирных технологий,"Технологическое ядро следующего уклада: квантовые технологии, ИИ, распределённые реестры (DLT), когнитивные/NBIC. Технологические барьеры уклада: информационный кризис, кризис расширенного воспроизводства, кризис когни- и биосовместимости.",фронтирные технологии;NBIC-конвергенция;технологические барьеры,s-trends-ingos;s-digital
t11,landscape,Инфраструктура квантовых коммуникаций,"Субтехнологии (коммуникации, вычисления, сенсоры/метрология). Квантовое распределение ключа (КРК/QKD) — стойкость по законам физики. Теорема Моска (x+y>z). Архитектура рынка и переход «от инфраструктуры к приложениям».",QKD;теорема Моска;модель ПАРУС,s-quantum-infra;s-trends-ingos;s-ingos-transform
t12,landscape,Распределённые транзакционные инфраструктуры,"DLT/блокчейн как ядро конвергентных финансовых рынков: проблемы SWIFT/VISA (централизация, скорость, стоимость) и что решают распределённые реестры. Кейс IBM Stellar vs Ripple. Стандартизация DLT в ITU.",распределённые реестры;консорциумы;транзакция как поток,s-trends-ingos;s-ingos-transform;s-digital
t13,landscape,Мировые концепции и образы будущего,"Крупные образы будущего как оружие/сдвиг: ИИ (управление коллективным сознанием), кванты (оружие массового взлома), NBIC (цифровой аналог человека, сингулярность), социальный рейтинг, новый валютный мир на распределённых реестрах.",образы будущего;мета-стратегия,s-digital;s-trends-ingos;s-mgmt-26-03
t14,landscape,Оператор инфраструктуры и модель ПАРУС,"Сдвиг от продажи решений к управлению инфраструктурой: технологический/сервисный оператор, продажа включения в сеть и потока транзакций. Модель ПАРУС связывает технологии, инфраструктуру, рынки и модели отношений.",модель ПАРУС;потоковый оператор;KaaS,s-quantum-infra;s-trends-ingos;s-ingos-transform
t15,ai-business,ИИ и трансформация рынков,"Бум ИИ и его инфраструктурный характер (ИИ проникает во все секторы). OpenAI как «архитектор новых рынков»; связка гиперинвестиций (Microsoft $1→$10 млрд) и суперкоманд (чемпионы ICPC). ИИ как фундаментальная технология XXI века.",ИИ как инфраструктура;архитектор рынков,s-ingos-transform;s-frontier-21-01;s-digital
t16,ai-business,Цифровизация vs автоматизация,"Три разных явления: автоматизация (ИТ-решения, копилоты), цифровизация (архитекторы + ИИ-инженеры и агенты), цифровая трансформация (смена бизнес-процессов). ROI цифровизации и вопрос об инвестициях в ИИ.",цифровизация;автоматизация;AI-native,s-trends-ingos;s-ingos-transform
