source_id,file,title,date,slides,blocks,note
s-value-06-26,модели создания ценности 06.26.pptx,Трансформация моделей генерации ценности,2026-06-23,21,transition;ai-business;management,"приватный дек Д. Хан; самая свежая концептуальная версия (уклады индустриальный/постиндустриальный/постИИ, правило трёх доменов, кейсы образование и консалтинг); извлечено 2026-09-24"
s-digital,цифровизация и модели бизнеса.pptx,"Подходы к проектированию технологических инфраструктур: управленческие модели, медиа и капитализация",2025-09-26,88,transition;landscape;ai-business;management,"приватный дек Д. Хан; самый полный дек — сводная таблица укладов, отраслевая матрица, кейсы Red Bull/GoPro/Patagonia/Banksy/OnlyFans; извлечено 2026-09-24"
s-ingos-transform,ингосстрах Трансформация модели бизнеса Хан.pptx,Трансформация модели бизнеса при миграции в перспективные архитектуры на примере бизнес-кейсов,2026-02-03,54,ai-business;management;landscape,"приватный дек Д. Хан; кейсы Сбер×Космос, Wildberries, Red Bull Stratos, Como 1907, OpenAI; извлечено 2026-09-24"
s-frontier-emba,12.09 управление фронтирными моделями emba хан.pptx,Управление фронтирными моделями (EMBA),2026-09-12,20,transition;management,"приватный дек Д. Хан; сжатая EMBA-версия ядра курса; извлечено 2026-09-24"
s-frontier-21-01,21.01 управление фронтирными моделями.pptx,Управление фронтирными моделями,2026-01-21,28,transition;ai-business;management,"приватный дек Д. Хан; правило трёх доменов, закон культурного дизрапта, суперзадачи; извлечено 2026-09-24"
s-quantum-infra,квантовая инфраструктура 12.03.pptx,Мировая квантовая инфраструктура для новых требований работы с данными и моделей бизнеса,2026-03-10,34,landscape;ai-business,"приватный дек Д. Хан; QKD, теорема Моска, архитектура рынка квантовых коммуникаций, модель ПАРУС; извлечено 2026-09-24"
s-trends-ingos,технологические тренды ингострах.pptx,Глобальные технологические тренды в транзакционной инфраструктуре,2024-12-20,73,landscape;ai-business;management,"приватный дек Д. Хан; DLT/блокчейн, IBM Stellar, квантовые сети, ИИ в IIoT; извлечено 2026-09-24"
s-mgmt-26-03,модели управления 26.03.25.pptx,Подходы к проектированию технологических инфраструктур (модели управления),2025-03-26,73,management;landscape,"приватный дек Д. Хан; модели управления, гл. архитектор, советская модель больших проектов; извлечено 2026-09-24"
s-mgmt-06-11,модели управления 06.11.pptx,Модели управления,2024-11-11,61,management;landscape,"приватный дек Д. Хан; ранняя версия блока управления; извлечено 2026-09-24"
s-infra-30-10,технологии и модели инфраструктуры 30.10 роснефть.pptx,"Подходы к проектированию технологических инфраструктур, киберфизических систем и систем управления",2024-10-30,39,landscape;ai-business;management,"приватный дек Д. Хан; версия для Роснефти; извлечено 2026-09-24"
s-infra-17-05,технологии и модели инфраструктуры 17.05 лидеры россии.pptx,Технологии и модели инфраструктуры,2024-05-17,40,landscape;management,"приватный дек Д. Хан; версия для «Лидеров России»; извлечено 2026-09-24"
s-infra-27-03,технологии и модели инфраструктуры 27.03.pptx,Технологии и модели инфраструктуры,2024-03-28,27,landscape,"приватный дек Д. Хан; извлечено 2026-09-24"
s-infra-29-11,технологии и модели инфраструктуры 29.11.pptx,Технологии и модели инфраструктуры,2023-11-29,28,landscape,"приватный дек Д. Хан; извлечено 2026-09-24"
s-infra-base,технологии и модели инфраструктуры.pptx,Технологии и модели инфраструктуры (базовая версия),2023-04-20,25,landscape,"приватный дек Д. Хан; самая ранняя версия блока ландшафта; извлечено 2026-09-24"
