method_id,title,block,summary,application,source_ids
m01,Методология постинформационного перехода,transition,"Ядро курса: анализ и проектирование через три уклада (индустриальный → информационный → постинформационный) и три модели работы с рынком (воронка → лейка → хлопушка). Экономика считает → анализирует → собирает; ИИ забирает аналитику и контент, остаётся сборка.","Разметить компанию/отрасль/технологию по укладам; определить текущий уровень и следующий ход; спроектировать переход.",s-digital;s-value-06-26;s-frontier-emba;s-frontier-21-01
m02,Правило трёх доменов,ai-business,"Для выхода на уровень 3 (трансформация стороннего рынка) нужно комбинировать минимум три домена: домашний рынок + транзитный домен → трансформируемый (третий) рынок.","Проверка замысла трансформации: какие три домена комбинирует компания и какой третий рынок создаёт (разбор Сбер×Космос, Red Bull, Como).",s-value-06-26;s-frontier-21-01
m03,Стратегии генерации добавленной стоимости,ai-business,"Три пути наращивания ДС: инфраструктуризация; повышение уровня модели бизнеса (уклад выше); захват цепочки добавленной стоимости (переделы/экосистемы/домен).","Выбор стратегического хода для компании/воркстрима; сборка текущей стратегии из позиции перспективной модели.",s-value-06-26;s-ingos-transform
m04,Модель «главного архитектора»,management,"Полнота власти (постановка задачи + распоряжение ресурсом + решения) у одного лица при симметричной ответственности и вознаграждении по результату. Главные конструкторы вместо предпринимателей, большие проекты вместо венчура, своевременность вместо эффективности.","Проектирование управления суперпроектом; распределение власти и ответственности в команде воркстрима.",s-mgmt-26-03;s-digital;s-infra-30-10
m05,Суперзадачи для суперкоманд,management,"Постановка избыточной, неутилитарной задачи в зоне провалов рынка; штаб/команда архитекторов создаёт связи и собирает суперкоманду; удержание через этические принципы, резонансы и вызовы (когерентные спутанные команды).","Формулировка суперзадачи воркстрима; сборка команды под вызов, а не под ТЗ.",s-frontier-21-01;s-digital;s-frontier-emba
m06,AI-native / цифровизация с ИИ,ai-business,"Цифровизация как работа архитекторов вместе с ИИ-инженерами и агентами (в отличие от автоматизации отдельных функций). ИИ как посредник (IAI) и агенты на уровне API↔API; делегирование решений при контроле ответственности.","Проектирование процессов и продуктов «ИИ-как-часть-инфраструктуры»; постановка задач ИИ-агентам; оценка ROI цифровизации.",s-trends-ingos;s-ingos-transform;s-digital
m07,Цифровизация vs автоматизация vs трансформация,ai-business,"Различение трёх явлений: автоматизация (ИТ-решения, копилоты) · цифровизация (архитекторы + ИИ) · цифровая трансформация (смена бизнес-процессов и модели).","Диагностика зрелости компании: что она реально делает и куда двигаться; корректная постановка ROI.",s-trends-ingos;s-ingos-transform
m08,Русские принципы управления,management,"Приёмы работы с неопределённостью и дефицитом: авось (загоризонтное планирование), аврал (концентрация в моменте), чудо (использование случая), с колёс (без постановки), каша из топора (шедевр из доступного).","Рамка обсуждения нестандартных управленческих ходов; сопоставление с классическим менеджментом.",s-digital;s-mgmt-26-03
m09,Powermap / карта гравитации,management,"Картирование власти, влияний и отношений; продвижение через создание сред и поводов (PR поступками), а не прямой поиск клиента. Доверие и отношения важнее техники сделки.","Подготовка к переговорам/входу на рынок; анализ заинтересованных групп воркстрима.",s-digital;s-trends-ingos;s-mgmt-26-03
m10,Исследовательские фронты и полигоны,landscape,"Глубокая инновация: создание технологий-ядер для ещё не существующих инфраструктур. Круг тем определяется сообществом/корпорациями/государством; технологии тестируются на полигонах (НТИ) и поддерживаются спец. финансовыми инструментами.","Отбор фронтирных тем; критерии инфраструктуры будущего (новый принцип, барьеры, охват рынков к горизонту).",s-digital;s-mgmt-26-03
m11,Разбор модели бизнеса по трём укладам,ai-business,"Метод «ключевого перехода»: раскладываем компанию по индустриальному/постиндустриальному/пост-ИИ уровням и формулируем переход («от продажи товара к экосистеме, где продукт — входной билет»).","Учебный разбор кейса на семинаре; шаблон для business-models.csv.",s-digital;s-ingos-transform;s-value-06-26
m12,Проектирование оператора инфраструктуры (ПАРУС),landscape,"Сдвиг от продажи решений к управлению инфраструктурой: технологический/сервисный оператор, продажа включения в сеть и потока транзакций, стек сервисов «от инфраструктуры к приложениям» (напр. KaaS).","Проектирование бизнес-модели инфраструктурного игрока (квантовый оператор, платёжная сеть).",s-quantum-infra;s-trends-ingos;s-ingos-transform
m13,Оценка срочности перехода (теорема Моска),landscape,"x (срок секретности) + y (время миграции защиты) > z (время до угрозы) ⇒ действовать сейчас. Формализация «почему нельзя ждать».","Обоснование инвестиций в квантово-стойкую/постквантовую защиту и другие упреждающие переходы.",s-quantum-infra
