industry_id,industry,industrial,postindustrial,post_ai,source_ids
ind01,HR / Управление персоналом,"Кадровое делопроизводство; поиск под запрос («нужен инженер с 5 параметрами»); жёсткие инструкции; воронка резюме; человек под бизнес-процесс","HR-брендинг, корпоративная культура, EVP; развитие soft skills; бизнес-процесс под человека","Суперзадачи для суперкоманд; работа с метанавыками; поиск и взращивание гениев (talent mining); HR-шерпы; кадровый инжиниринг",s-digital;s-frontier-21-01
ind02,Здоровье,"Массовая диспансеризация, стандартные протоколы; физкультура; здоровое население","Персонализация тренировок, фитнес- и бьюти-индустрия, anti-age; красота как товар, здоровье как побочный эффект","Биохакинг, превентивная медицина на big data, «апгрейд» тела; возвращение к медицине причин, восточной медицине; экстремальная медицина; долголетие 100+",s-digital;s-value-06-26
ind03,Социальное управление,"Политтехнологии; социальные пособия, универсальные льготы","Социальное проектирование, гранты НКО, краудфандинг, Social Relations; экосистемы для самореализации","Социальный майнинг, выявление скрытых лидеров, точечная поддержка инициатив снизу",s-digital;s-value-06-26
ind04,Одежда / Мода,"Функциональность, скорость производства, низкая цена","Бренды и масс-маркет, устойчивая мода, кастомизация, fashion-экосистемы (цифровая одежда, аренда гардероба, бренды как медиа)","Этика и статусы; ситуационность; экстремальная мода; техно-рабочая мода (экзоскелеты, бионика, общение с ИИ)",s-digital;s-value-06-26
ind05,Искусство,"Точное ремесло, академическая школа, уникальный шедевр","Интерактивные инсталляции, contemporary art, стрит-арт, цифровое искусство, NFT, AI-генерация, перформансы","Искусство как опыт, супер-иммерсивные шоу, искусство в планетарном масштабе",s-digital;s-value-06-26
ind06,Музыка,"Качество музыки, классика, структура","Шоу-бизнес, направления, целевая аудитория, массовые концерты, эмоции","Совместное созидание и сотворчество, значение момента, музыка как пространство",s-value-06-26;s-digital
ind07,Еда,"Массовое сельское хозяйство, калории","Фермерские рынки, суперфуды, доставка здорового питания, ресторан как времяпрепровождение, бренды","Еда как опыт и уникальность: омакасе, фуд-теки (биореактор), персональная нутригеномика",s-digital;s-value-06-26
ind08,Спорт,"Массовый спорт, ГТО, любительские секции","Профессиональные лиги (НХЛ, НБА), спортивный маркетинг, бренды спортсменов, спорт как шоу и медиаконтент","Спорт экстремальных достижений (Red Bull, Хабиб–Макгрегор, команда Тутберидзе, фридайвинг); экстремальный спорт как этический принцип и способ проверки",s-digital;s-value-06-26
ind09,Космос,"Гонка сверхдержав, государственные программы","Частные компании (SpaceX, Blue Origin), спутниковый интернет (Starlink); ближний космос как инфраструктура","Космический туризм, добыча ресурсов, колонизация; космос как смена мышления",s-digital
ind10,Реабилитация и социализация,"Производство ТСР (технических средств реабилитации)","Инклюзивные среды, доступная среда","Капитализация потенциала: фиджитал-игры, кибермода, киберпротезы с обратной связью, нейроинтерфейсы, рынок героев/репутации",s-digital;s-value-06-26
ind11,Журналистика,"Новостные ленты, фактчекинг, центральные СМИ","Блоги, авторские колонки, личные бренды; борьба за смыслы, а не факты; медиа как создатели реальности","Постправда, deep fakes; архивирование как страхование идентичности; спутанность постправды с транзакциями",s-digital;s-value-06-26
ind12,Квантовые технологии,"Фундаментальные НИОКР в гослабах и вузах, частные стартапы, венчур","Инфраструктура, смена моделей ключевых отраслей","Квантовый переход: новые парадигмы вычислений, связи, сенсорики; форматы мышления",s-digital
ind13,Чрезвычайные ситуации,"Борьба с катастрофами и последствиями","Борьба с рисками и угрозами","Создание и управление катастрофами (техногенные, экологические, психологические, эпидемии, войны, погодные)",s-digital;s-value-06-26
ind14,Образование,"Массовая школа, единая программа, оценки, диплом; учитель-ретранслятор; конвейер специалистов","Edtech, MOOCs, персонализованные траектории; учитель → ментор/бренд; знание через истории; несущая функция уходит ИИ","Образование как сборка субъекта; учитель = архитектор условий; продукт = серия событий трансформации + пожизненный доступ к сети; тест: «что разрушится, если школа исчезнет?»",s-value-06-26
ind15,Консалтинг,"Модель McKinsey: универсальные методологии (Five Forces, BCG, 7S), пирамида аналитиков, отчёт с рекомендациями, бренд как страховка","Стратегия как контент и бренд (Christensen, Galloway), niche-бутики, digital transformation; инсайты как IP и канал маркетинга","Продукт = состояние клиента; консультант = архитектор перехода; skin in the game (equity/carry), анти-пирамида, точечные вмешательства, гудвилл архитектора",s-value-06-26
