model_id,company,industry,level,transition_summary,key_metrics,source_ids
bm01,Red Bull,Напитки / спорт-медиа,уровень 3 (пост-ИИ / хлопушка),"Напиток финансирует медиа, медиа продвигает бренд, бренд продаёт напиток. От продажи товара к экосистеме и имиджу экстремального спорта как образа жизни; продукт — входной билет в мир экстрима. Держатель стандартов и онтологии рынка.","оборот >11 млрд долл (сравним с Coca-Cola ~12 млрд); ~35% выручки в маркетинг; экстремальный спорт до 10% рынка спорта; клубы RB Leipzig/RB Salzburg, команда F1 (цифры со слайдов — проверить)",s-ingos-transform;s-digital;s-frontier-21-01
bm02,Сбер (СБЕР),Финансы / технологии,переход 2→3 (мета-манёвр «Космос»),"От банка к технологической корпорации венчурного типа и экосистеме; мета-стратегический манёвр — космос (инфраструктура + данные + контент). Г. Греф как архитектор, суперзадача как личный вызов.","111 млн розничных и 3,4 млн корп. клиентов; 84 млн MAU СберБанк онлайн; 294 тыс. сотрудников; 1,5 трлн руб. чистая прибыль; 600 млрд руб. инвестиций в ИИ (цифры со слайдов — проверить)",s-ingos-transform;s-frontier-21-01
bm03,Wildberries,E-commerce / маркетплейс,переход 2→3,"Инфраструктура торговли (платформа + логистика + ПВЗ) + финансовая экосистема + медиа (RUSS outdoor) + креативные индустрии. WB как генератор бизнесов, построенных на людях.","111 млн клиентов; оборот ~4 трлн руб./год (цифры со слайдов — проверить)",s-ingos-transform;s-frontier-21-01
bm04,Como 1907,Спорт / туризм,переход 1→3 (правило трёх доменов),"Классический футбольный клуб → венчурная и технологическая экосистема + контент (документальный фильм) + fashion + трансформация локального туризма (озеро Комо как уникальный ресурс).","клуб с 1907 г.; город ~85 000 чел., стадион ~2 000 мест; ставка на репутацию тренеров/директоров (цифры со слайдов — проверить)",s-ingos-transform;s-frontier-21-01
bm05,OpenAI,Искусственный интеллект,уровень 3 (архитектор рынков),"«Архитектор новых рынков»: экосистема экосистем, управление замыслами через сеть, хостинг суперкоманд, участие в прорывных стартапах. Машина трансформации глобальных рынков.","совокупный охват ~800 млн клиентов; инвестиции Microsoft 1→10 млрд долл (цифры со слайдов — проверить)",s-ingos-transform;s-frontier-21-01;s-digital
bm06,Patagonia,Одежда / аутдор,уровень 3 (этический эталон),"От производства одежды к управлению доверием и этическому эталону: «Don't Buy This Jacket», Worn Wear (ремонт/перепродажа), передача прав собственности на борьбу с изменением климата. Прибыль — инструмент влияния.","1% для планеты; premium-ценообразование как отражение ценности (со слайдов)",s-digital;s-frontier-21-01
bm07,GoPro,Электроника / контент,переход 1→3,"От продажи «железа» к управлению вниманием и социальному лифту: GoPro Awards, агрегация пользовательского контента, спонсорство атлетов. Камера — инструмент доступа к признанию.","миллионы просмотров пользовательских видео; выплаты за лучший контент (со слайдов)",s-digital
bm08,Banksy,Искусство,уровень 3 (культурный дизрапт),"Физические анонимные рисунки → бренд уличного художника → взрыв арт-рынка и новая экономика анонимности; мгновенность против долговечности.",—,s-digital;s-frontier-21-01
bm09,OnlyFans,Платформа / контент,переход 2→3,"От платформы (скорость, UX, финансовые инструменты) к новой экономике персональных отношений и монетизации интимности.",—,s-digital
bm10,Loro Piana,Люкс / мода,уровень 3 (культурный дизрапт),"Тихая роскошь (quiet luxury) как вызов показной роскоши — заявление нового порядка на уровне 3.",—,s-frontier-21-01
bm11,Zaha Hadid Architects,Архитектура / дизайн,переход 2→3,"От новаторских исследований форм к мировому бюро знаковых построек и новой эстетике (деконструктивизм, параметрическая архитектура) на инновационных композитных материалах.",—,s-digital
bm12,IBM (Stellar),ИТ / финтех-инфраструктура,уровень 3 (инфраструктурный оператор),"Распределённая финансово-учётная инфраструктура на базе Stellar для трансграничных платежей; прямая конкуренция с Ripple за рынок; Stellar Lumens как связывающий актив.","годовой объём межд. платежей ~100 трлн долл; план обслуживать 10–15%; распределённые реестры дешевле «классики» до 60% (цифры со слайдов — проверить)",s-trends-ingos;s-ingos-transform;s-digital
bm13,Стартап чемпионов ICPC,ИИ / разработка ПО,уровень 3 (суперкоманда),"Иллюстрация «суперкоманды»: четыре чемпиона мира ICPC (в т.ч. Г. Короткевич, ИТМО) как неотчуждаемый ресурс, вокруг которого собирается уникальная конфигурация и капитал.","капитализация ~10 млрд долл (со слайдов — проверить)",s-ingos-transform;s-frontier-21-01
